detid,flow
-186623965#14,34
-186623965#16,11
-22917421#14,20
-23283579#0,21
-23283579#1,21
-23648008#0,53
-23648008#1,8
-25166682#0,53
-28675510#3,5
-28675510#5,7
-297047307,63
-297047310#2,27
-297047310#3,27
-309744810#1,6
-4936412,47
-8716807#0,15
-8716807#4,15
-8716807#5,15
133081985#0,26
133081985#1,26
133081987#0,47
133081987#3,53
186623965#15,0
22917421#5,7
22959550#0,26
22959550#1,11
22959550#3,11
22959550#4,11
23283435#1,21
23647126,15
23648008#1,8
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,62
28675510#1,78
28675510#4,20
297047310#4,10
